source_key,raga,title,artist,performance_type,link,score,score_hits,rights_status,license_type,download_url,notes
yt_bhairav_playlist_K9cVieLDOIE,bhairav,Bhairav (राग भैरव) Bada Khayal Tutorial in Tilwada -  He ghanshyam jaago हे घन श्याम जागो,,,https://www.youtube.com/watch?v=K9cVieLDOIE,2,+khayal,reference_only,unknown,,
yt_bhairav_playlist_WUcJ3XnGVr0,bhairav,Bhairav Chhota Khayal Tutorial Trital  -  Rang ke kamal drig kholo shyam ab,,,https://www.youtube.com/watch?v=WUcJ3XnGVr0,2,+khayal,reference_only,unknown,,
yt_bhairav_playlist_2OXeo2z34W4,bhairav,Bhairav (राग भैरव)  Raag description,,,https://www.youtube.com/watch?v=2OXeo2z34W4,2,+raag,reference_only,unknown,,
yt_bhairav_playlist_jSBmdu-ahZw,bhairav,How to create Aalap and Taans in Chhota Khyal- Demo in Raag Bhairav,,,https://www.youtube.com/watch?v=jSBmdu-ahZw,2,+raag,reference_only,unknown,,
yt_bhairav_playlist_m5WKwOpINF4,bhairav,"How to take Badhat and Firkat Taans in any Raag , from any swar  - Demo in Raag Kalawati and Bhairav",,,https://www.youtube.com/watch?v=m5WKwOpINF4,2,+raag,reference_only,unknown,,
yt_bhairav_playlist_3HwtvjTnvm0,bhairav,How to create Aarohi Taan from any swar in any Raag - Demo in Raag Rageshri Madhukauns & Darbari,,,https://www.youtube.com/watch?v=3HwtvjTnvm0,2,+raag,reference_only,unknown,,
yt_bhairav_playlist_T8Dr-HKzH6k,bhairav,"How to create 2 sided Taans from any swar in any Raag  Demo in Bhairav, Shobhawari, Bhimpalasi etc",,,https://www.youtube.com/watch?v=T8Dr-HKzH6k,2,+raag,reference_only,unknown,,
yt_bhairav_playlist_jzj5pb1Q9Xo,bhairav,"How to sing Shrikrishan Sholk in Any Raag - Demo in Yaman, Kalawati, Tilak Kamod, Nayaki & Bhairav",,,https://www.youtube.com/watch?v=jzj5pb1Q9Xo,2,+raag,reference_only,unknown,,
yt_bhairav_playlist_Ndb3_GPdvUU,bhairav,Demo of Alankar 1211 in Raag Bhairav,,,https://www.youtube.com/watch?v=Ndb3_GPdvUU,2,+raag,reference_only,unknown,,
yt_bhairav_playlist_NrXvhiWdLLg,bhairav,Bhairav (राग भैरव) Aalap  and taan Tutorial,,,https://www.youtube.com/watch?v=NrXvhiWdLLg,0,,reference_only,unknown,,
yt_bhairav_playlist_uDRo-XXKrs4,bhairav,Bhairav(राग भैरव)  Aalap and Taan Tutorial  for Juniors,,,https://www.youtube.com/watch?v=uDRo-XXKrs4,0,,reference_only,unknown,,
yt_bhairav_playlist_6anNqYUJi1g,bhairav,Bhairav (राग भैरव) Chhota Khyal in Trital - Rang ke kamal drig kholo shyam ab - for Juniors,,,https://www.youtube.com/watch?v=6anNqYUJi1g,0,,reference_only,unknown,,
yt_bhairav_playlist_0qzbCdC92hs,bhairav,Why Jati is more effective  than Thhat ?,,,https://www.youtube.com/watch?v=0qzbCdC92hs,0,,reference_only,unknown,,
