source_key,raga,title,artist,performance_type,link,score,score_hits,rights_status,license_type,download_url,notes
yt_bhairavi_playlist_ioEIAdnzhog,bhairavi,Raag Bhairavi – The Raga of Closure and Calm | Raag Pravah LIVE,,,https://www.youtube.com/watch?v=ioEIAdnzhog,5,"+raag, +raga, +live",reference_only,unknown,,
yt_bhairavi_playlist_KP3G1kBA3wQ,bhairavi,Raag Bhairavi | First Prahar | Bandish | Chalo Hato Girdhari,,,https://www.youtube.com/watch?v=KP3G1kBA3wQ,4,"+raag, +bandish",reference_only,unknown,,
yt_bhairavi_playlist_HchV8or1rec,bhairavi,Raag Bhairavi | First Prahar | Bandish | Madhur Bansi Naad Sunat,,,https://www.youtube.com/watch?v=HchV8or1rec,4,"+raag, +bandish",reference_only,unknown,,
yt_bhairavi_playlist_NAF7lC__lAY,bhairavi,Dil Toh Bachcha Hai Ji (Ishqiya) | Dhun | Instrumental Raag Bhairavi | First Prahar,,,https://www.youtube.com/watch?v=NAF7lC__lAY,2,+raag,reference_only,unknown,,
yt_bhairavi_playlist_jGps9x_LPcM,bhairavi,Awaara Hoon (Awaara) | Dhun | Instrumental | Raag Bhairavi | First Prahar,,,https://www.youtube.com/watch?v=jGps9x_LPcM,2,+raag,reference_only,unknown,,
yt_bhairavi_playlist_WgNYl2tkOCg,bhairavi,Dhoom Macha Le Dhoom (Dhoom) | Dhun | Instrumental | Raag Bhairavi | First Prahar,,,https://www.youtube.com/watch?v=WgNYl2tkOCg,2,+raag,reference_only,unknown,,
yt_bhairavi_playlist_leGmfPfMjX0,bhairavi,My name is Sheila (Tees Maar Khan) | Dhun | Instrumental | Raag Bhairavi | First Prahar,,,https://www.youtube.com/watch?v=leGmfPfMjX0,2,+raag,reference_only,unknown,,
yt_bhairavi_playlist_HRVoCKTYsnU,bhairavi,Kisi Ki Muskurahaton Pe Ho Nisar | Dhun | Instrumental | Raag Bhairavi | First Prahar,,,https://www.youtube.com/watch?v=HRVoCKTYsnU,2,+raag,reference_only,unknown,,
yt_bhairavi_playlist_9QXmNkydnDI,bhairavi,Duniya Me Logon Ko | Dhun | Instrumental | Raag Bhairavi | First Prahar,,,https://www.youtube.com/watch?v=9QXmNkydnDI,2,+raag,reference_only,unknown,,
yt_bhairavi_playlist_3BZ37hRQNM8,bhairavi,Raag bhairavi | First Prahar | Bhajan | Sarveshwari Jagadeshwari,,,https://www.youtube.com/watch?v=3BZ37hRQNM8,2,+raag,reference_only,unknown,,
