source_key,raga,title,artist,performance_type,link,score,score_hits,rights_status,license_type,download_url,notes
yt_bilawal_playlist_Fj3mAGuNXQo,bilawal,Raag Bilawal - Kaun Jane Peer Parai Bhai Kamaljit Singh Hajuri Ragi ji,,,https://www.youtube.com/watch?v=Fj3mAGuNXQo,2,+raag,reference_only,unknown,,
yt_bilawal_playlist_2UltYhFIzII,bilawal,Raag Bilawal - Bal Bal Jau Siyam Sundar Kau Bhai Gagandeep Singh Hazuri Ragi ji,,,https://www.youtube.com/watch?v=2UltYhFIzII,2,+raag,reference_only,unknown,,
yt_bilawal_playlist_dfGlFwl2Bw8,bilawal,Raag Bilawal - Man Meh Sinchho Har Har Nam Bhai Jabartor singh hazuri Ragi ji,,,https://www.youtube.com/watch?v=dfGlFwl2Bw8,2,+raag,reference_only,unknown,,
yt_bilawal_playlist_uOaQ78D2bNI,bilawal,Rag Bilawal - Kawan Sanjog Milau Prabh Apne Bhai Simarpreet Singh Hazuri Ragi ji,,,https://www.youtube.com/watch?v=uOaQ78D2bNI,0,,reference_only,unknown,,
yt_bilawal_playlist_uOaQ78D2bNI,bilawal,Rag Bilawal - Kawan Sanjog Milau Prabh Apne Bhai Simarpreet Singh Hazuri Ragi ji,,,https://www.youtube.com/watch?v=uOaQ78D2bNI,0,,reference_only,unknown,,
yt_bilawal_playlist_4Cv2QcxQJW8,bilawal,Rag Bilawal - Bhoole Marag Jineh Bataeya Bhai Sukhwant Singh Hazuri Ragi Ji,,,https://www.youtube.com/watch?v=4Cv2QcxQJW8,0,,reference_only,unknown,,
yt_bilawal_playlist_cjIWAdayd_c,bilawal,Rag Bilawal - Satgur Kar Deene Asthir Ghar Bar Bhai kamaljeet Singh Hazuri Ragi Ji,,,https://www.youtube.com/watch?v=cjIWAdayd_c,0,,reference_only,unknown,,
yt_bilawal_playlist_Ks5udddCpuA,bilawal,Gobind Gobind Gobind Maee  Bhai Bhupinder Singh Hajuri Ragi Ji,,,https://www.youtube.com/watch?v=Ks5udddCpuA,0,,reference_only,unknown,,
yt_bilawal_playlist_I8FMGxVi3Ws,bilawal,Rag Bilawal - Satgur Shabad Ujaro Deepa Bhai Gurdev Singh Khalsa Hazuri Ragi Ji,,,https://www.youtube.com/watch?v=I8FMGxVi3Ws,0,,reference_only,unknown,,
yt_bilawal_playlist_zF4eNkfZC5Q,bilawal,Rag Bilawal - Aiso Gyan Birlo ee Paye  Bhai Sukhjit Singh baba bakala  Hazuri Ragi ji,,,https://www.youtube.com/watch?v=zF4eNkfZC5Q,0,,reference_only,unknown,,
yt_bilawal_playlist_zHF_rZs8LM8,bilawal,Rag Bilawal - Shant Payi Gur Satgur Poore  Bhai Sukhpreet Singh Hazuri Ragi ji,,,https://www.youtube.com/watch?v=zHF_rZs8LM8,0,,reference_only,unknown,,
yt_bilawal_playlist_ZwXRuowXkAU,bilawal,Rag Bilawal - Darmade Thade Darbar Bhai Sukhwant Singh Hazuri Ragi ji,,,https://www.youtube.com/watch?v=ZwXRuowXkAU,0,,reference_only,unknown,,
yt_bilawal_playlist_mhCDDDW2A2A,bilawal,Rag Bilaval - mere Man Bhaj Ram Name Rama Bhai Bhupinder Singh Hazuri Ragi Ji,,,https://www.youtube.com/watch?v=mhCDDDW2A2A,0,,reference_only,unknown,,
yt_bilawal_playlist_E6Tt5IZ3R2E,bilawal,ਮੋਰੀ ਅਹੰ ਜਾਇ ਦਰਸਨ ਪਾਵਤ ਹੇ Bhai Kuldeep Singh Hazuri Ragi Ji,,,https://www.youtube.com/watch?v=E6Tt5IZ3R2E,0,,reference_only,unknown,,
yt_bilawal_playlist__TGzS6oFjK4,bilawal,Rag Bilawal - Jap Man Ram Nam Rasna Bhai Sahib Singh Hazuri Ragi ji,,,https://www.youtube.com/watch?v=_TGzS6oFjK4,0,,reference_only,unknown,,
yt_bilawal_playlist_Vu3bDF1NS54,bilawal,Rag Bilawal - Ram Raj Ramdas Pur Bhai Bhupinder Singh Hazuri Ragi Ji,,,https://www.youtube.com/watch?v=Vu3bDF1NS54,0,,reference_only,unknown,,
yt_bilawal_playlist_kCmzxVZh9fk,bilawal,Rag Bilawal - Mu Lalan Sio Preet Bani Bhai Harwinder Singh Hazuri Ragi Ji,,,https://www.youtube.com/watch?v=kCmzxVZh9fk,0,,reference_only,unknown,,
yt_bilawal_playlist_tB_h-h1dltA,bilawal,Rag Bilawal) Suraj Kiran Mile Jal Ka Jal Hua Ram Bhai Gurdev Singh Ji Khalsa,,,https://www.youtube.com/watch?v=tB_h-h1dltA,0,,reference_only,unknown,,
