source_key,raga,title,artist,performance_type,link,score,score_hits,rights_status,license_type,download_url,notes
yt_desh_playlist_eHrKnPp1EZo,desh,Des (राग देस) Raag Description,,,https://www.youtube.com/watch?v=eHrKnPp1EZo,2,+raag,reference_only,unknown,,
yt_desh_playlist_cht7zssT7vY,desh,Alankars in Audhav-Sampoorn Jati using Raag Des,,,https://www.youtube.com/watch?v=cht7zssT7vY,2,+raag,reference_only,unknown,,
yt_desh_playlist__AmAhXy54DM,desh,"How to create Palta Taans from any swar in any Raag  - Demo in Raag Abhogi, Des, Puriya and Bhairavi",,,https://www.youtube.com/watch?v=_AmAhXy54DM,2,+raag,reference_only,unknown,,
yt_desh_playlist_NwCfvqi_uBY,desh,होरी खेलत बनमाली रे - Hori khelat banmali re - Hori in Raag Des,,,https://www.youtube.com/watch?v=NwCfvqi_uBY,2,+raag,reference_only,unknown,,
yt_desh_playlist_kgzXMF5slHc,desh,`Des (राग देस) Bada Khyal in Ektal vilambit - Eri sakhi sawan ayo re,,,https://www.youtube.com/watch?v=kgzXMF5slHc,1,+vilambit,reference_only,unknown,,
yt_desh_playlist_yvqMp1ynwLM,desh,Des Chaturang in Trital Drut - Chhan nan nan nan nan baje,,,https://www.youtube.com/watch?v=yvqMp1ynwLM,1,+drut,reference_only,unknown,,
yt_desh_playlist_vbG6gSbxPrM,desh,Des (राग देस) Chaturang in Trital Drut - Mori araj suno shyam tum mori,,,https://www.youtube.com/watch?v=vbG6gSbxPrM,1,+drut,reference_only,unknown,,
yt_desh_playlist_T5qTHy0ooQw,desh,Des (राग देस) Aalap and Taan tutorial,,,https://www.youtube.com/watch?v=T5qTHy0ooQw,0,,reference_only,unknown,,
yt_desh_playlist_JfNxlUB1meA,desh,Des (राग देस) Bada Khyal in Roopak Madhya Laya  tutorial - Aaj savan chhay rahyo re,,,https://www.youtube.com/watch?v=JfNxlUB1meA,0,,reference_only,unknown,,
yt_desh_playlist_OfU2yZ23OSI,desh,Des (राग देस) Chhota Khyal in Teental Madhya Laya - Sawan ghan barse ri,,,https://www.youtube.com/watch?v=OfU2yZ23OSI,0,,reference_only,unknown,,
yt_desh_playlist_L1ZxrjJFYbQ,desh,Des (राग देस) Chhota Khyal in Teental Madhya Laya -  Naina bhaye baware ho,,,https://www.youtube.com/watch?v=L1ZxrjJFYbQ,0,,reference_only,unknown,,
yt_desh_playlist_QBKHBaN7J4k,desh,Des (राग देस) Hori in Teental Madhya Laya  - Hori khelat banmali re,,,https://www.youtube.com/watch?v=QBKHBaN7J4k,0,,reference_only,unknown,,
yt_desh_playlist_56L_HZnyVZ8,desh,Des (राग देस) Aalap  and Vistar Tutorial,,,https://www.youtube.com/watch?v=56L_HZnyVZ8,0,,reference_only,unknown,,
yt_desh_playlist_hqKDK6oJDcE,desh,Des (राग देस) Taan Tutorial (तानों का परिचय) in A# Scale,,,https://www.youtube.com/watch?v=hqKDK6oJDcE,0,,reference_only,unknown,,
yt_desh_playlist_Rluo4HmW7kc,desh,Des and Tilak Kamod - Similaries and Differences,,,https://www.youtube.com/watch?v=Rluo4HmW7kc,0,,reference_only,unknown,,
