source_key,raga,title,artist,performance_type,link,score,score_hits,rights_status,license_type,download_url,notes
yt_todi_playlist_2YbJ3__ZkVc,todi,Raag Todi -  Vilambit and Chota Khayal|Classical Raga,,,https://www.youtube.com/watch?v=2YbJ3__ZkVc,9,"+raag, +raga, +khayal, +vilambit, +classical",reference_only,unknown,,
yt_todi_playlist_zyngLwqXvKA,todi,"Raag Todi | Ustad Shahid Parvez Khan, sitar | Allah Janay - Ustad Bade Ghulam Ali Khan",,,https://www.youtube.com/watch?v=zyngLwqXvKA,5,"+raag, +sitar, +ustad",reference_only,unknown,,
yt_todi_playlist_c9n0n4teFWc,todi,Raga Miyan Ki Todi - राग मियाँ की तोड़ी - Sitar & Tabla,,,https://www.youtube.com/watch?v=c9n0n4teFWc,5,"+raga, +sitar, +tabla",reference_only,unknown,,
yt_todi_playlist_qPChsANIj4I,todi,Ustad Vilayat Khan ~ Raga Mian Ki Todi: Alap & Jod,,,https://www.youtube.com/watch?v=qPChsANIj4I,5,"+raga, +alap, +ustad",reference_only,unknown,,
yt_todi_playlist_w_16QyWA08A,todi,"Raag Todi Dhrupad Ayush Dwivedi at Sangeetshri Festival Arizona USA , Aditya Deep - Pakhawaj",,,https://www.youtube.com/watch?v=w_16QyWA08A,5,"+raag, +dhrupad, +festival",reference_only,unknown,,
yt_todi_playlist_2z-2bxJFhNo,todi,Pt. Rajendra Kulkarni Plays raag Miyan ki todi on Bansuri,,,https://www.youtube.com/watch?v=2z-2bxJFhNo,4,"+raag, +bansuri",reference_only,unknown,,
yt_todi_playlist_NsOWJJPOwqs,todi,First Time Ever - Sitar / Tabla by One Artist - Ustad Shafaat Khan - Miya Ki Todi,,,https://www.youtube.com/watch?v=NsOWJJPOwqs,4,"+sitar, +tabla, +ustad",reference_only,unknown,,
yt_todi_playlist_SrYVJixaPjs,todi,Pt. Vijay Koparkar - Raag Miyan ki Todi and Semi-classical Compositions,,,https://www.youtube.com/watch?v=SrYVJixaPjs,4,"+raag, +classical",reference_only,unknown,,
yt_todi_playlist_gtcL2YtjW2Y,todi,Raag Miya ki Todi(A.I.R. Recording) on sitar by Shri Chandrashekhar Phanse,,,https://www.youtube.com/watch?v=gtcL2YtjW2Y,4,"+raag, +sitar",reference_only,unknown,,
yt_todi_playlist_Kp5kjKmbPu0,todi,1986 - Akashvani Sangeet Sammelan II L. K. Pandit II Vocal II Raga - Todi,,,https://www.youtube.com/watch?v=Kp5kjKmbPu0,3,"+raga, +pandit",reference_only,unknown,,
