source_key,raga,title,artist,performance_type,link,score,score_hits,rights_status,license_type,download_url,notes
yt_yaman_bestof_Sya-B2DBOwo,yaman,"Raga Yaman - Vilambit in Ektaal, Drut in Teentaal| Ustad Rashid Khan | Official Audio",,,https://www.youtube.com/watch?v=Sya-B2DBOwo,5,"+raga, +vilambit, +drut, +ustad",reference_only,unknown,,
yt_yaman_bestof_9mkRcwwZ6GM,yaman,Raag  Yaman | Moods Of Krishna (Indian Classical Instrumental) Ajay Prasanna,,,https://www.youtube.com/watch?v=9mkRcwwZ6GM,4,"+raag, +classical",reference_only,unknown,,
yt_yaman_bestof_FIudr8h-WmQ,yaman,Raag Yaman | सखी ए री याली पिया बिन -  Pandit  Rajan Sajan Mishra,,,https://www.youtube.com/watch?v=FIudr8h-WmQ,3,"+raag, +pandit",reference_only,unknown,,
yt_yaman_bestof_Dy3cnSKtgcA,yaman,Raga Yaman Kalyan | Ravi Shankar And Alla Rakha | Music Festival From India 1974 | Remastered HD,,,https://www.youtube.com/watch?v=Dy3cnSKtgcA,3,"+raga, +festival",reference_only,unknown,,
yt_yaman_bestof_u4reR-6Ta2A,yaman,Mharo Pranam by Kishori Amonkar- Raag Yaman Kalyan,,,https://www.youtube.com/watch?v=u4reR-6Ta2A,2,+raag,reference_only,unknown,,
yt_yaman_bestof_CpEFP0Ws8Y8,yaman,Raag Yaman by Kishori Amonkar,,,https://www.youtube.com/watch?v=CpEFP0Ws8Y8,2,+raag,reference_only,unknown,,
yt_yaman_bestof_e8aG2xNEcNs,yaman,Kaushiki Chakraborty || Raag Yaman ||,,,https://www.youtube.com/watch?v=e8aG2xNEcNs,2,+raag,reference_only,unknown,,
yt_yaman_bestof_VL629ZvgdfQ,yaman,Sanjeev Abhyankar | Raag Yaman | Shadaj | 2018,,,https://www.youtube.com/watch?v=VL629ZvgdfQ,2,+raag,reference_only,unknown,,
yt_yaman_bestof_XO9Bh2HzHvo,yaman,Raag YamanKalyan by Pt. Ulhas Kashalkar,,,https://www.youtube.com/watch?v=XO9Bh2HzHvo,2,+raag,reference_only,unknown,,
yt_yaman_bestof_dxv5U0F0nzw,yaman,Mehdi Hassan Live...Ranjish Hi Sahi (Very Rare Version),,,https://www.youtube.com/watch?v=dxv5U0F0nzw,1,+live,reference_only,unknown,,
yt_yaman_bestof_12bm7kxRqoo,yaman,Eree aali piyabin_Abida Parveen_Raag Yaman,,,https://www.youtube.com/watch?v=12bm7kxRqoo,0,,reference_only,unknown,,
yt_yaman_bestof_FQOGWitvUbw,yaman,Ehsan Tera Hoga Mujh Par with Lyrics | एहसान तेरा होगा मुझ पर के बोल | Mohammed Rafi,,,https://www.youtube.com/watch?v=FQOGWitvUbw,0,,reference_only,unknown,,
yt_yaman_bestof_Qyj8QF5-6Fs,yaman,Voyager's Golden Record: Jaat Kahan Ho by Surshri Kesar Bai Kerkar,,,https://www.youtube.com/watch?v=Qyj8QF5-6Fs,0,,reference_only,unknown,,
yt_yaman_bestof_utcDd13hz4g,yaman,Happiness - De-stress & Relaxing Music 24/7 - Meditative Music - Rakesh Chaurasia & Sunil Das,,,https://www.youtube.com/watch?v=utcDd13hz4g,0,,reference_only,unknown,,
yt_yaman_bestof_gfDf-IrA5oQ,yaman,Agar Mujhse Mohabbat Hai (HD) - Aap Ki Parchhaiyan Song - Dharmendra - Supriya Choudhury,,,https://www.youtube.com/watch?v=gfDf-IrA5oQ,-1,-1song,reference_only,unknown,,
yt_yaman_bestof_vbvu_TAJabY,yaman,Raag Yaman Kalyan Jugalbandi I राग यमन I Javed Ali I Pt Ronu Majumdar I Raag Based Bollywood Songs,,,https://www.youtube.com/watch?v=vbvu_TAJabY,-2,"+raag, -1songs, -3bollywood",reference_only,unknown,,
