source_key,raga,artist,title,performance_type,link,source_platform,duration_sec,license_type,rights_status,collection_id,rank,tags
asavari_asad_ali_khan,asavari,Asad Ali Khan,Raga Asavari (Maestro's Choice),rudra_veena,https://www.youtube.com/watch?v=CSmR_IG97RA,youtube,,unknown,reference_only,,,"{""tags"": [""instrumental"", ""dhrupad""], ""collection_key"": ""saregama_asavari_catalog""}"
asavari_bhimsen_joshi,asavari,Pandit Bhimsen Joshi,Raga Asavari (Platinum Vol 2),vocal,https://www.youtube.com/watch?v=iFkYBk_I-0o,youtube,,unknown,reference_only,,,"{""tags"": [""vocal"", ""khayal""], ""collection_key"": ""saregama_asavari_catalog""}"
bhairav_sanjeev_abhyankar_young_masters,bhairav,Sanjeev Abhyankar,Raga Bhairav - Aanandeshwar Ardhanari,vocal,https://www.youtube.com/watch?v=_EAReSFe1ZA,youtube,,unknown,reference_only,,,"{""tags"": [""vocal"", ""khayal""], ""collection_key"": ""yt_bhairav_playlist""}"
bhairav_sayeeduddin_dagar,bhairav,Ustad Sayeeduddin Dagar,"Raag Bhairav, Shiv",vocal,https://www.youtube.com/watch?v=Yy9aJkZ2sRQ,youtube,,unknown,reference_only,,,"{""tags"": [""vocal"", ""dhrupad""], ""collection_key"": ""yt_bhairav_playlist""}"
yt_bhairav_playlist_0qzbCdC92hs,bhairav,,Why Jati is more effective  than Thhat ?,,https://www.youtube.com/watch?v=0qzbCdC92hs,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairav_playlist_2OXeo2z34W4,bhairav,,Bhairav (राग भैरव)  Raag description,,https://www.youtube.com/watch?v=2OXeo2z34W4,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairav_playlist_3HwtvjTnvm0,bhairav,,How to create Aarohi Taan from any swar in any Raag - Demo in Raag Rageshri Madhukauns & Darbari,,https://www.youtube.com/watch?v=3HwtvjTnvm0,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairav_playlist_6anNqYUJi1g,bhairav,,Bhairav (राग भैरव) Chhota Khyal in Trital - Rang ke kamal drig kholo shyam ab - for Juniors,,https://www.youtube.com/watch?v=6anNqYUJi1g,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairav_playlist_K9cVieLDOIE,bhairav,,Bhairav (राग भैरव) Bada Khayal Tutorial in Tilwada -  He ghanshyam jaago हे घन श्याम जागो,,https://www.youtube.com/watch?v=K9cVieLDOIE,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairav_playlist_Ndb3_GPdvUU,bhairav,,Demo of Alankar 1211 in Raag Bhairav,,https://www.youtube.com/watch?v=Ndb3_GPdvUU,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairav_playlist_NrXvhiWdLLg,bhairav,,Bhairav (राग भैरव) Aalap  and taan Tutorial,,https://www.youtube.com/watch?v=NrXvhiWdLLg,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairav_playlist_T8Dr-HKzH6k,bhairav,,"How to create 2 sided Taans from any swar in any Raag  Demo in Bhairav, Shobhawari, Bhimpalasi etc",,https://www.youtube.com/watch?v=T8Dr-HKzH6k,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairav_playlist_WUcJ3XnGVr0,bhairav,,Bhairav Chhota Khayal Tutorial Trital  -  Rang ke kamal drig kholo shyam ab,,https://www.youtube.com/watch?v=WUcJ3XnGVr0,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairav_playlist_jSBmdu-ahZw,bhairav,,How to create Aalap and Taans in Chhota Khyal- Demo in Raag Bhairav,,https://www.youtube.com/watch?v=jSBmdu-ahZw,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairav_playlist_jzj5pb1Q9Xo,bhairav,,"How to sing Shrikrishan Sholk in Any Raag - Demo in Yaman, Kalawati, Tilak Kamod, Nayaki & Bhairav",,https://www.youtube.com/watch?v=jzj5pb1Q9Xo,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairav_playlist_m5WKwOpINF4,bhairav,,"How to take Badhat and Firkat Taans in any Raag , from any swar  - Demo in Raag Kalawati and Bhairav",,https://www.youtube.com/watch?v=m5WKwOpINF4,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairav_playlist_uDRo-XXKrs4,bhairav,,Bhairav(राग भैरव)  Aalap and Taan Tutorial  for Juniors,,https://www.youtube.com/watch?v=uDRo-XXKrs4,youtube,,unknown,ingestible,,,"{""tags"": []}"
bhairavi_hariprasad_chaurasia,bhairavi,Pandit Hariprasad Chaurasia,Raga Bhairavi,bansuri,https://www.youtube.com/watch?v=OxaBT0b8nSY,youtube,,unknown,reference_only,,,"{""tags"": [""instrumental""], ""collection_key"": ""yt_bhairavi_playlist""}"
bhairavi_kaushiki_chakraborty,bhairavi,Kaushiki Chakraborty,Raag Bhairavi (Vocal),vocal,https://www.youtube.com/watch?v=Gm7rl89XyqQ,youtube,,unknown,reference_only,,,"{""tags"": [""vocal"", ""khayal""], ""collection_key"": ""yt_bhairavi_playlist""}"
yt_bhairavi_playlist_-BAr_0u1xoU,bhairavi,,Durgati Harini Durga Ambe | Devi Bhajan | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=-BAr_0u1xoU,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_1w9A4WbyOCA,bhairavi,,Raag Bhairavi | First Prahar | Bhajan | Buddham Sharnam Gachami,,https://www.youtube.com/watch?v=1w9A4WbyOCA,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_3BZ37hRQNM8,bhairavi,,Raag bhairavi | First Prahar | Bhajan | Sarveshwari Jagadeshwari,,https://www.youtube.com/watch?v=3BZ37hRQNM8,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_9QXmNkydnDI,bhairavi,,Duniya Me Logon Ko | Dhun | Instrumental | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=9QXmNkydnDI,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_CW3UQx10X3g,bhairavi,,Raag Bhairavi | First Prahar | Bhajan | Shankaray Shankaray Shankaray Mangalam,,https://www.youtube.com/watch?v=CW3UQx10X3g,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_FTfgOsMeBuU,bhairavi,,Bhagwati Bhakti Karo Pradan | Bhajan (Mangalacharan) | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=FTfgOsMeBuU,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_HRVoCKTYsnU,bhairavi,,Kisi Ki Muskurahaton Pe Ho Nisar | Dhun | Instrumental | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=HRVoCKTYsnU,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_HchV8or1rec,bhairavi,,Raag Bhairavi | First Prahar | Bandish | Madhur Bansi Naad Sunat,,https://www.youtube.com/watch?v=HchV8or1rec,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_Ip4H7DuvnVQ,bhairavi,,Raag Bhairavi | First Prahar | Bhajan |  Jagat Janani Bhav Tarini,,https://www.youtube.com/watch?v=Ip4H7DuvnVQ,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_JhmsvMW6rBU,bhairavi,,Bhaj Man Ram Charan Sukhdai | Bhajan | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=JhmsvMW6rBU,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_KP3G1kBA3wQ,bhairavi,,Raag Bhairavi | First Prahar | Bandish | Chalo Hato Girdhari,,https://www.youtube.com/watch?v=KP3G1kBA3wQ,youtube,,unknown,ingestible,,,"{""tags"": []}"
